name,description,property_type_name,province_name,district_name,ward_name,street_name,project_name,price,area,floor_count,frontage_width,house_depth,road_width,bedroom_count,bathroom_count,house_direction,balcony_direction,published_at
"Bán Toà Nhà 10tầng x DT 170m2 x 56p khép kín, cho Thuê 250tr/th,Oto Dừng Đỗ,Phố Quan Hoa, Cầu Giấy.","Bán Toà Nhà 10tầng x DT 170m2 x 56p khép kín, cho Thuê 250tr/th,Oto Dừng Đỗ,Phố Quan Hoa, Cầu Giấy. SIÊU PHẨM DÒNG TIỀN TRUNG TÂM QUẬN CẦU GIẤY - TÒA NHÀ 10 TẦNG - VỊ TRÍ TIẾP GIÁP BA ĐÌNH - KINH DOANH SẦM UẤT Mô tả chi tiết. + Tọa lạc vị trí và khu vực đông đúc sầm uất ngày đêm. - Trước nhà ngõ to như phố ô tô tránh thông ô tô. Gần các trường đại học, ... Khu vực giáp ranh giữa Cầu Giấy, Ba Đình, nên thu hút rất nhiều sinh viên và người đi làm về đây tìm thuê nhà. Không bao giờ lo ế phòng. Kinh doanh cực tốt. + Tòa nhà xây 10 tầng khung móng chắc chắn, Thiết kế hiện đại, đang cho thuê kín phòng với doanh số ~250 triệu/tháng, ~ 3 tỷ/năm. + Thiết kế - Mặt bằng tầng 1: 6trieu/ tháng - Tổng có 56 phòng khép kín, trong đó có 23 phòng 2 ngủ và 33 phòng 1 ngủ - Dòng tiền tốt ổn định. - Giấy Phép xây dựng, PCCC có đủ. + Sổ đỏ chính chủ, đang gửi bank. - Liên Hệ: [phone_number] Em Lợi xem nhà ko qua trung gian.",Nhà,Hà Nội,Cầu Giấy,Quan Hoa,Quan Hoa,,60000000000.0,170.0,,6.0,,,,,,,2025-06-28T02:15:58.241000
Trung tâm Cầu Giấy - gần phố gần ô tô - nhà đẹp dân xây - 65m2 - giá chào 13 tỷ,"Trung tâm Cầu Giấy - gần phố gần ô tô - nhà đẹp dân xây - 65m2 - giá chào 13 tỷ. * Mô tả: Trung tâm Cầu Giấy - gần phố gần ô tô - ba gác tận cửa - nhà đẹp dân xây - sổ đỏ hoa khôi - nghiêm túc thiện chí. Nhà bán nằm trung tâm quận, ngõ nông rộng thẳng. Chuẩn trung tâm Cầu Giấy, Ba Đình, Tây Hồ, Đống Đa, tiện ích đỉnh. * Nhà chủ tự xây, vẫn còn rất chắc chắn, chủ tự xây lên cực kỳ tỷ mỉ, chất lượng. Thiết kế đẹp, hiện đại đầy đủ công năng sử dụng: - Tầng 1: Phòng khách + Bếp. - Tầng 2, 3: Mỗi tầng 2 phòng ngủ rộng, vệ sinh cầu thang giữa. - Tầng 4: Phòng ngủ vệ sinh + Sân phơi. Sổ đỏ vuông đẹp, sẵn giao dịch. Liên hệ: P. Cường [phone_number]",Nhà,Hà Nội,Cầu Giấy,Quan Hoa,Quan Hoa,,13000000000.0,65.0,,4.8,,,4.0,3.0,,,2025-06-25T04:14:26.632000
Bán nhà Xuân Đỉnh - Siêu phẩm lô góc - ô tô đỗ cửa - 38m - nhỉnh 7 tỷ - nhà đẹp mới koong,"Em Quỳnh chính chủ bán nhà đẹp không tì vết vị trí không thể tốt hơn giá quá yêu thương. Vị trí siêu hiếm giá trị sống vô đối: Nằm trong lô 10 căn siêu VIP căn góc đẹp nhất được chủ mua từ móng, tự tay thiết kế và giám sát xây dựng. Ngõ cực nông, ô tô tải đỗ tận cửa, trước nhà rộng 3m. Giao thông cực kỳ thuận tiện. Cách phố đúng 100m, bãi gửi xe ô tô chỉ 50m, vài bước chân là tới Công viên Hòa Bình & khu Ngoại Giao Đoàn Môi trường sống đáng mơ ước! An ninh tuyệt đối, dân trí cao, hàng xóm văn minh. Nhà thoáng trước thoáng bên không gian sống tràn ngập ánh sáng tự nhiên. Tường riêng, móng riêng xây cực kỳ chắc chắn. Toàn bộ nội thất lựa chọn tinh tế phù hợp phong cách hiện đại, sang trọng. Pháp lý: Sổ đỏ hoa hậu vuông đẹp sẵn sàng giao dịch ngay! Giá cực yêu chủ thiện chí cơ hội vàng khó lặp lại!",Nhà,Hà Nội,Bắc Từ Liêm,Xuân Đỉnh,Xuân Đỉnh,,7750000000.0,38.0,5.0,4.0,,3.0,3.0,4.0,,,2025-06-06T11:25:30.440000
"33,427 tỷ căn biệt thự song lập cổ điển Pháp Vinhomes Đan Phượng 228m2","Khẳng định đẳng cấp cư dân tinh hoa khi sở hữu căn biệt thự song lập Pháp cổ hiếm hoi tại Vinhomes Đan Phượng. - Diện tích: 228m2. - Diện tích xây dựng: 490m2. - Vị trí độc tôn Sở hữu tầm nhìn công viên cực đắt giá, sát hồ lớn & bể bơi nội khu. - 2 mặt thoáng đón nắng, đón gió tạo dòng khí phong thủy thịnh vượng. Phù hợp: Gia chủ tìm kiếm không gian sống đẳng cấp, gần gũi thiên nhiên. Nhà đầu tư săn hàng hiếm, giữ tài sản bền vững. Liên hệ ngay: [phone_number] em Huỳnh xin cám ơn ạ!",Biệt thự/Nhà liền kề,Hà Nội,Đan Phượng,Liên Trung,,Vinhomes Wonder Park Đan Phượng​​,33430000000.0,228.0,4.0,,,,,,Tây Nam,,2025-06-20T13:41:05.585000
"Nhận Đặt Chỗ quỹ 200 căn Ngoại Giao; Chiết Khấu 19%; Giá từ 3,8tỷ/54m2/2pn/2wc; Miễn phí tiện ích","- CĐT chính thức nhận đặt chỗ dự án Galia Hà Nội; - Quỹ căn 1pn, 2pn, 2pn+1, 3PN, Penthoues (43.68-157m2) - Đặt chỗ BOOKING nhận thêm chiết khấu 2% - Đặt chỗ Booking quỹ ngoại giao nhận chiết khấu 19% (chỉ booking mới có) * phương án thanh toán linh hoạt - Lh: [phone_number]",Căn hộ chung cư,Hà Nội,Hoàng Mai,Yên Sở,,Galia Hà Nội Yên Sở,3850000000.0,54.3,,,,,2.0,2.0,,,2025-06-13T12:18:30.662000
Nhận nhà ở ngay căn hộ 2PN 1VS 60m2 full nội thất chỉ từ 2 tỷ 780 triệu tại Vinhomes Ocean Park,"* Nhận nhà ở ngay căn hộ 2PN 1VS đã setup full nội thất tại Vinhomes Ocean Park Giá cực kỳ hấp dẫn tại phân khu Sapphire S. Thông tin căn hộ: - Diện tích căn hộ: 60m². - Thiết kế căn hộ: Căn hộ được thiết kế vô cùng hợp lý với 2 phòng ngủ sáng vuông vắn + 1 vệ sinh, phòng khách rộng thoáng có logia và ban công thông gió thoáng mát. - Phòng vệ sinh được thiết kế thông minh phù hợp cùng lúc 2 người sử dụng. Môi trường sống hiện đại văn minh, đầy đủ các tiện ích cao cấp cho con trẻ vui chơi, học tập, rèn luyện sức khỏe. - Ngay dưới chân tòa nhà là hàng loạt siêu thị, hiệu thuốc, spa, salon,... Rất thuận tiện cho sinh hoạt của cư dân. - Máy tập thể dục được bố trí ở khắp các nội khu giúp cư dân dễ dàng rèn luyện sức khỏe. - Trong khu có nhiều trường học, phòng khám, trung tâm thương mại,... Giúp cư dân có nhiều lựa chọn cho các con học tập, vui chơi. - Môi trường sống trong lành yên tĩnh như 1 khu nghỉ dưỡng cho cha mẹ lớn tuổi tận hưởng cuộc sống về già. - Nội thất: Full nội thất liền tường. - Pháp lý minh bạch sổ đỏ chính chủ cầm tay. - Giá bán: 2 tỷ 780 triệu. * Anh/Chị quan tâm tới căn hộ liên hệ trực tiếp để được tư vấn và xem trực tiếp căn hộ. Cảm ơn anh chị đã xem tin.",Căn hộ chung cư,Hà Nội,Gia Lâm,Đa Tốn,,The Sapphire 1 - Vinhomes Ocean Park,2780000000.0,60.0,,,,,2.0,1.0,,,2025-06-21T14:45:28.127000
"Mộ lao 50 m2, thực tế 57 m2, 5 tầng, đường p10m, mặt tiền 7m, móng lên 7 tầng Đầu tư","Mộ lao 50 m2, thực tế 57 m2, 5 tầng, đường p10m, mặt tiền 7m, móng lên 7 tầng Đầu tư + Bán nhanh trong tuần căn nhà 57 m2, mặt tiền 7m, 5 tầng trung tâm mộ lao, móng lên được 7 tầng + Nhà nằm trong khu phân lô, ô tô tránh, dừng đỗ, có thiết kế, giá đầu tư nhỉnh 16 tỷ + Chủ cần bán nhanh, hàng kín, đầu tư ngon Liên hệ em Thiết [phone_number]",Nhà,Hà Nội,Hà Đông,Mộ Lao,,Khu đô thị Mỗ Lao,16500000000.0,57.0,5.0,7.0,,,5.0,,,,2025-06-18T14:13:33.231000
Phú Minh group bán nhà dòng tiền mặt phố Bạch Mai 1 hầm 7 tầng 1 tum vị trí kinh doanh sầm uất,"Bán nhà dòng tiền mặt phố Bạch Mai 1 hầm 7 tầng 1 tum vị trí kinh doanh sầm uất chỉ 140 tỷ. Địa chỉ: 175 - 177 Bạch Mai, Hai Bà Trưng tuyến phố trung tâm kết nối thẳng đến phố cổ, khu vực kinh doanh nhộn nhịp ngày đêm. Thông tin chi tiết: Diện tích đất: 166m² Mặt tiền: 7.35m cực rộng, dễ nhận diện thương hiệu. Hướng: Tây Bắc. Kiến trúc: 1 hầm 7 tầng nổi 1 tum. Công năng: + Tầng hầm: Để xe. + Tầng 1 đến tầng 8: Thiết kế thông sàn + WC riêng, cực phù hợp cho ngân hàng, showroom, văn phòng, spa cao cấp... Pháp lý chuẩn chỉnh: Sổ đỏ lâu dài đất ở tại đô thị. Hiện trạng: Tòa nhà đang trong quá trình hoàn thiện, bàn giao đúng tiến độ. Chủ mới có thể vào vận hành ngay hoặc khai thác cho thuê dòng tiền cực tốt. Giá bán: 140 tỷ có thương lượng. Lợi thế đầu tư: Mặt phố trung tâm giá trị tăng theo thời gian. Thiết kế hiện đại dễ dàng khai thác dòng tiền cho thuê. Hiếm có phù hợp làm trụ sở công ty, trung tâm đào tạo, chuỗi bán lẻ cao cấp... Liên hệ ngay: [phone_number]Zalo/Call) Miễn trung gian, làm việc chính chủ.",Nhà,Hà Nội,Hai Bà Trưng,,Bạch Mai,,140000000000.0,166.0,,7.0,,,,,Tây Bắc,,2025-06-05T05:10:22.720000
Bán gấp 60m2 đất Hoà Lạc giáp đại học Quốc Gia,Hàng hiếm tại Thạch Thất tài chính chỉ hơn 1 tỷ. Khuân thửa vuông vắn. Pháp lý rõ ràng. Cách công nghệ cao HL 10p lái xe. Call [phone_number] Em Phượng.,Đất,Hà Nội,Thạch Thất,Lại Thượng,419,,1550000000.0,60.0,,5.0,,,,,Đông Nam,,2025-06-05T06:55:39.249000
"Bán nhà Lạc Long Quân 34m2, 2 thoáng, ô tô, nội thất chủ tặng, nhỉnh 6 tỷ","- Chủ nhà ăn nên làm ra mua nhà mới to đẹp, cần nhượng lại căn nhà cực đẹp trên phường Phú Thượng. - Nhà mới xây dành cho khách mua về để ở hoặc đầu tư giữ tiền, 2 thoáng, nội thất sang xịn chủ tặng. Rất gần phố. Có bãi đỗ xe ngày đêm. - Nhà nằm ở vị trí đắc địa của Tây Hồ, khu vực giáp với khu đô thị mới Starlake, khu Ngoại Giao Đoàn, Ciputra, Sunshine. Gần các trường từ tiểu học đến đại học, gần siêu thị, gần chợ, công viên, Hồ Tây và muôn vàn tiện ích. Khu vực đân cư đông đúc dân trí cao, an ninh tuyệt đối, an sinh cực đỉnh. - Ngõ rộng thông tứ tung, thiết kế hiện đại tầng 1 phòng, WC, cầu thang góc. - Diện tích 34m2. Chủ bán nhanh 6,6 tỷ (có thương lượng). Miễn trung gian. - Sổ đỏ chính chủ, pháp lý sạch sẵn sàng giao dịch. - Hãy gọi ngay: Mr Vũ [phone_number] chuyên nhà đất Hà Nội để được tư vấn và hỗ trợ. - Cam kết miễn phí từ khi đi xem đến khi mua xong nhà. Hỗ trợ tận tâm.",Nhà,Hà Nội,Tây Hồ,Phú Thượng,Lạc Long Quân,,6600000000.0,34.0,,,,,,,,,2025-06-04T07:38:34.704000
